team,P(Group),P(R32),P(R16),P(QF),P(SF),P(Final),P(Win)
Spain,0.01616,0.98384,0.74088,0.529,0.39448,0.2688,0.17828
England,0.02824,0.97176,0.69716,0.47016,0.2966,0.18156,0.10248
Argentina,0.03428,0.96572,0.56336,0.39996,0.25384,0.1522,0.08436
France,0.04936,0.95064,0.66496,0.42068,0.26884,0.1484,0.08188
Portugal,0.05908,0.94092,0.65396,0.41888,0.2528,0.14556,0.07792
Germany,0.05048,0.94952,0.70296,0.42492,0.26856,0.14692,0.07728
Brazil,0.0382,0.9618,0.57,0.3582,0.205,0.10612,0.05288
Netherlands,0.14632,0.85368,0.5374,0.35624,0.19572,0.09936,0.05004
Colombia,0.12076,0.87924,0.52764,0.28892,0.15692,0.07832,0.03616
Belgium,0.06232,0.93768,0.61808,0.35772,0.15876,0.07716,0.03556
Croatia,0.09316,0.90684,0.52864,0.27544,0.14648,0.0708,0.03048
Uruguay,0.11604,0.88396,0.464,0.27212,0.14064,0.06804,0.02892
Norway,0.12696,0.87304,0.52408,0.27736,0.14528,0.06576,0.02804
Switzerland,0.06116,0.93884,0.61992,0.30508,0.14384,0.06256,0.02516
Japan,0.29352,0.70648,0.36968,0.19676,0.08592,0.03424,0.01364
Turkey,0.18956,0.81044,0.47556,0.2248,0.08472,0.03648,0.0134
Ecuador,0.18828,0.81172,0.4356,0.20244,0.08788,0.03424,0.01336
Austria,0.18544,0.81456,0.29448,0.14296,0.0614,0.02464,0.00916
Czech Republic,0.18196,0.81804,0.41468,0.15532,0.05872,0.01936,0.0074
Scotland,0.18844,0.81156,0.31676,0.15424,0.06092,0.0204,0.00708
Morocco,0.18884,0.81116,0.32024,0.15416,0.05976,0.02016,0.00684
Sweden,0.40516,0.59484,0.28824,0.13572,0.05104,0.01916,0.00664
Paraguay,0.29676,0.70324,0.34916,0.1352,0.0448,0.016,0.00532
Australia,0.32736,0.67264,0.32856,0.1244,0.03768,0.01304,0.00428
South Korea,0.24432,0.75568,0.3478,0.12032,0.0402,0.01256,0.00408
Tunisia,0.4446,0.5554,0.2408,0.09576,0.03292,0.01028,0.00316
Iran,0.26072,0.73928,0.34188,0.11664,0.03584,0.01072,0.0028
Ivory Coast,0.34272,0.65728,0.26752,0.09964,0.03012,0.00912,0.00276
Mexico,0.30812,0.69188,0.28096,0.08628,0.02628,0.00692,0.00196
United States,0.46104,0.53896,0.2124,0.06588,0.01712,0.00496,0.00124
Egypt,0.38672,0.61328,0.23436,0.06572,0.01728,0.00464,0.00108
Uzbekistan,0.49824,0.50176,0.16468,0.05052,0.01608,0.00428,0.00104
Bosnia and Herzegovina,0.36248,0.63752,0.26316,0.07216,0.01756,0.004,0.001
Saudi Arabia,0.51628,0.48372,0.14648,0.05412,0.01384,0.00392,0.00088
Senegal,0.576,0.424,0.14832,0.04564,0.01212,0.00256,0.00068
Canada,0.40884,0.59116,0.22472,0.0606,0.01436,0.0032,0.00064
Ghana,0.52464,0.47536,0.14048,0.03956,0.0108,0.0026,0.00048
Qatar,0.4732,0.5268,0.1912,0.04612,0.00968,0.00184,0.00032
Iraq,0.61376,0.38624,0.12704,0.03656,0.00844,0.00188,0.00032
Jordan,0.55484,0.44516,0.0946,0.0304,0.0088,0.00192,0.00032
Algeria,0.58604,0.41396,0.08328,0.02524,0.00628,0.00152,0.00024
South Africa,0.53508,0.46492,0.14256,0.03256,0.0072,0.00152,0.00016
DR Congo,0.6834,0.3166,0.07468,0.01848,0.0044,0.001,0.00012
Cape Verde,0.77808,0.22192,0.04376,0.01096,0.00176,0.00028,8e-05
Haiti,0.85168,0.14832,0.01684,0.00292,0.0006,4e-05,4e-05
Curaçao,0.77024,0.22976,0.05324,0.01256,0.00192,0.0002,4e-05
New Zealand,0.62828,0.37172,0.10228,0.01984,0.00316,0.00028,0.0
Panama,0.74284,0.25716,0.05096,0.01084,0.00264,0.00048,0.0
